Date,Close,High,Low,Open,Volume,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2015-03-16,11.968731880187988,11.970972855307323,11.852226814430091,11.86118815086268,2652000,1,8355.0,1.2451410293579102,99998.75485897064,100000.0,0.0,0.0
2015-03-17,11.98105812072754,12.0034636049487,11.916084353190753,11.951932273262775,2145600,0,8355.0,1.2451410293579102,100101.7405986786,100102.98573970796,0.10298573970795033,0.10298573970795033
2015-03-18,12.125570297241213,12.171500898914823,11.918324482473388,11.95753301153511,1919200,0,8355.0,1.2451410293579102,101309.13983345033,101310.38497447969,1.3103849744796836,1.2061570649962938
2015-03-19,12.115487098693848,12.155816111072015,12.09868320108932,12.122208315862965,2185600,0,8355.0,1.2451410293579102,101224.8947095871,101226.13985061646,1.226139850616459,-0.08315546711668009
2015-03-20,12.184940338134766,12.242073240535069,12.16589632222854,12.167016809835266,2705600,0,8355.0,1.2451410293579102,101805.17652511597,101806.42166614532,1.8064216661453303,0.5732529328740688
2015-03-23,12.18830394744873,12.244316372106708,12.18830394744873,12.193904677105465,2020800,0,8355.0,1.2451410293579102,101833.27948093414,101834.5246219635,1.8345246219634959,0.027604305659956196
2015-03-24,12.154699325561523,12.230876277180894,12.147978106345166,12.205110179048196,2642400,0,8355.0,1.2451410293579102,101552.51286506653,101553.75800609589,1.5537580060958955,-0.2757086723877755
2015-03-25,11.82086181640625,12.158056854800956,11.818621695462353,12.153575758231383,2816000,0,8355.0,1.2451410293579102,98763.30047607422,98764.54561710358,-1.2354543828964282,-2.746537837452434
2015-03-26,11.828702926635742,11.876873643982968,11.6886718709382,11.750285877317811,3288000,0,8355.0,1.2451410293579102,98828.81295204163,98830.05809307098,-1.1699419069290173,0.06633197728806994
2015-03-27,11.857829093933104,11.885835303817068,11.772689976574986,11.825341787905906,2111200,0,8355.0,1.2451410293579102,99072.16207981108,99073.40722084044,-0.926592779159563,0.2462298742557545
2015-03-30,11.992262840270996,12.002344668462298,11.92952833102466,11.939611013897904,3564800,0,8355.0,1.2451410293579102,100195.35603046417,100196.60117149353,0.19660117149353784,1.1336987211405969
